,id,name,corp_id,corp_name,at_present_fouds_id,at_present_fouds_name,job_duration_days,at_present_total_size,at_present_best_profit,at_present_fouds_num
0,30634044,艾定飞,80053204,华商基金,"007685,007853","华商电子行业量化股票,华商计算机行业量化股票",931,541000000.0,66.5,2
1,30277862,艾小军,80000224,国泰基金,"000218,004253,005095,005096,007817,007818,010210,012362,012363,020021,020022,160224,501016,501019,510230,512660,512720,512760,512880,515880,518800","国泰黄金ETF联接A,国泰黄金ETF联接C,国泰量化成长优选混合A,国泰量化成长优选混合C,国泰中证全指通信设备ETF联接A,国泰中证全指通信设备ETF联接C,国泰中证计算机主题ETF联接C,国泰中证全指证券公司ETF联接A,国泰中证全指证券公司ETF联接C,国泰上证180金融ETF联接,国泰策略价值灵活配置混合,国泰中证计算机主题ETF联接A,国泰中证申万证券行业指数,国泰国证航天军工指数,国泰上证180金融ETF,国泰中证军工ETF,国泰中证计算机ETF,国泰CES半导体芯片ETF,国泰中证全指证券公司ETF,国泰中证全指通信设备ETF,国泰黄金ETF",2709,73132000000.0,155.22,21
2,30074174,安昀,80000243,长信基金,"006397,009778,009779,011669,011670,012493,012494,519979","长信内需成长混合E,长信消费升级混合A,长信消费升级混合C,长信优质企业混合A,长信优质企业混合C,长信内需均衡混合A,长信内需均衡混合C,长信内需成长混合A",2609,4207000000.0,190.13,8
3,30648059,彬彬,80061431,人保资产,"006419,006420","人保优势产业混合A,人保优势产业混合C",881,53000000.0,57.16,2
4,30659779,包兵华,80000230,鹏华基金,"006230,007146,010264,010265","鹏华研究驱动混合,鹏华研究智选混合,鹏华成长智选混合A,鹏华成长智选混合C",786,10462000000.0,110.68,4
5,30283513,白冰洋,80000200,中银证券,"002601,002938,004913,004914,011269,011270","中银证券价值精选混合,中银证券健康产业混合,中银证券聚瑞混合A,中银证券聚瑞混合C,中银证券优势制造股票A,中银证券优势制造股票C",1700,145000000.0,20.71,6
6,30158947,薄官辉,80000235,银华基金,"000823,001163,006251,011817,161818,180001","银华高端制造业混合,银华中国梦30股票,银华兴盛股票,银华阿尔法混合,银华消费主题混合,银华优势企业混合",2238,4361000000.0,177.6,6
7,30727776,边慧,80000235,银华基金,"008833,008834","银华汇盈一年持有期混合A,银华汇盈一年持有期混合C",80,1650000000.0,1.3,2
8,30324911,白海峰,80036782,招商基金,"004266,005761,005762,007729,007975,008183,010754,011651,011652,515160","招商沪港深科技创新混合A,招商MSCI中国A股国际ETF联接A,招商MSCI中国A股国际ETF联接C,招商普盛全球配置(QDII-FOF)人民币,招商普盛全球配置(QDII-FOF)美元现汇,招商普盛全球配置(QDII-FOF)美元现钞,招商沪港深科技创新混合C,招商港股通核心精选股票A,招商港股通核心精选股票C,招商MSCI中国A股国际通ETF",1858,2349000000.0,98.74,10
9,30069893,白洁,80048752,中银基金,"000539,000817,003213,003313,003770,004899,006677,006678,008936,009255,010083,010933,012134,012191,012192,163827","中银活期宝货币,中银安心回报,中银悦享定期开放债券发起式,中银睿享定开债券,中银丰庆定期开放债券,中银信享定期开放债券,中银稳汇短债债券A,中银稳汇短债债券C,中银产业债债券C,中银添盛39个月定期开放债券,中银欣享利率债,中银稳汇短债债券E,中银嘉享3个月定开债,中银恒泰9个月持有期债券A,中银恒泰9个月持有期债券C,中银产业债债券A",3742,113334999999.99998,46.12,16
10,30551173,毕凯,80000220,南方基金,"007109,160125","南方沪港深核心优势混合,南方香港优选股票",1390,795000000.0,75.81,2
11,30710522,毕凯,80048088,光大保德信基金,"000489,000490,005426,009440,009441,009452","光大岁末红利纯债A,光大岁末红利纯债C,光大尊丰纯债定开债,光大裕鑫混合A,光大裕鑫混合C,光大尊裕纯债一年定开债",304,2711000000.0,3.19,6
12,30037457,毕天宇,80000221,富国基金,"000513,008138,519035","富国高端制造行业股票,富国龙头优势混合,富国天博创新主题混合",5679,5421000000.0,366.22,3
13,30289521,鲍无可,80000251,景顺长城基金,"000979,008060,008715,008850,009098,260112","景顺长城沪港深精选股票,景顺长城价值边际灵活配置混合,景顺长城价值驱动一年持有混合,景顺长城价值稳进定开混合,景顺长城价值领航混合,景顺长城能源基建混合",2544,8245000000.0,235.23,6
14,30196299,贲兴振,80000235,银华基金,"005519,006302,011405,180010","银华混改红利灵活配置混合发起式,银华行业轮动混合,银华稳健增长一年持有期混合,银华优质增长混合",2970,6611000000.0,166.6,4
15,30728148,柏杨,80000225,大成基金,"011583,011584","大成港股精选混合(QDII)A,大成港股精选混合(QDII)C",39,494000000.00000006,0.07,2
16,30064183,卞亚军,80560408,同泰基金,"008842,008843,008997,008998,011002,011003","同泰远见混合A,同泰远见混合C,同泰竞争优势混合A,同泰竞争优势混合C,同泰大健康主题混合A,同泰大健康主题混合C",1634,366000000.0,44.56,6
17,30674126,毕子男,80975669,华融基金,001797,华融新利灵活配置混合,103,2000000.0,0.71,1
18,30048002,蔡宾,80000227,长盛基金,"007833,007834,011265,011266","长盛稳怡添利债券A,长盛稳怡添利债券C,长盛安泰一年持有期混合A,长盛安泰一年持有期混合C",4332,628000000.0,22.5,4
