,id,name,avg_daily_income,at_present_total_size,job_duration_days,at_present_best_profit,at_present_fouds_num
1663,30531436,王树丽,0.0209297357267348,143987000000.0,1502,13.75,4
1404,30685940,孙欣炎,0.0166049095184745,33000000.0,584,66.36,6
1071,30733728,柳杨,0.0049253292859816,3272000000.0,17,0.03,4
1732,30690116,吴悠,0.002822904290429,863000000.0000001,528,74.26,1
1477,30699845,田元泉,0.0027016574585635,2650000000.0,362,97.8,1
2440,30724749,张湘龙,0.0027016574585635,2650000000.0,133,8.41,1
1048,30358185,刘阳,0.0026395951593478,282000000.0,2169,41.39,2
1332,30705147,孙海龙,0.0025632449060131,4984000000.0,346,31.97,10
1414,30063386,孙轶佳,0.0024205263157894,2338000000.0,2034,232.08,2
1687,30713454,王菀宜,0.0022085829208973,752000000.0,270,46.5,2
2344,30560441,朱然,0.0021191033412362,634000000.0,1315,249.44,2
231,30705089,杜钧天,0.0020049252888091,6562000000.0,348,136.91,12
1889,30688158,向伊达,0.001994420131291,529000000.0,551,108.61,1
1353,30136189,孙磊,0.0019750642673521,38000000.0,258,58.58,2
2491,30716958,赵易,0.0019581176470588,952000000.0,223,25.51,2
573,30585791,黄艺明,0.0018955732122587,46000000.0,1053,168.6,2
783,30685891,林皓,0.0018955732122587,46000000.0,584,128.34,2
1894,30706653,徐远航,0.0018791248860528,121000000.0,336,28.29,1
79,30296880,陈雷,0.0018649064133362,523000000.00000006,2481,195.98,3
1256,30683872,乔敏,0.0018586658080603,88000000.0,607,77.69,1
330,30459969,樊勇,0.0018335974021475,1876000000.0,976,325.19,5
375,30699498,耿嘉洲,0.0018288505747126,172000000.0,396,90.31,1
2255,30718979,张剑鑫,0.0018254098360655,350000000.0,61,11.17,2
1446,30705093,童兰,0.0017960364784286,40220000000.0,347,24.59,1
1427,30487957,谭冬寒,0.0017820367127496,9179000000.0,1746,282.22,5
1444,30469080,唐雷,0.001781339031339,2521000000.0,1553,62.91,2
580,30692663,胡银玉,0.0017310502283105,664000000.0,439,75.82,2
255,30722029,丁天宇,0.0017024310118265,150000000.0,166,13.4,2
2043,30137001,闫思倩,0.0016826517742412,4936000000.0,1336,222.03,3
1882,30682384,夏雨,0.0016752363282748,2013000000.0,637,137.09,4
1710,30331917,吴兴武,0.0016648216325439,17842000000.0,2314,319.79,8
25,30696640,陈臣,0.00164820971867,462000000.0,392,65.62,2
2178,30201042,张弘,0.0016237593984962,1202000000.0,990,81.3,1
2431,30699472,曾新杰,0.0016205325604953,1219000000.0,397,68.67,2
1876,30046790,徐小勇,0.0015900757605429,4886000000.0,3541,259.13,12
1577,30537515,万建军,0.0015806397306397,559000000.0,1188,194.77,1
1512,30581592,王迪,0.001574442822972,1542000000.0,1090,179.6,2
397,30674011,高诗,0.00156016,274000000.0,626,97.51,1
260,30597240,狄星华,0.0015427884615384,90000000.0,937,153.36,2
2540,30529020,郑泽鸿,0.001542234332425,16279000000.0,1468,226.4,3
1860,30580544,谢玮,0.001541205645236,1002000000.0,1105,224.61,4
2303,30710697,张慕禹,0.001533744504988,1029000000.0,301,36.73,4
489,30717058,黄继晨,0.0015278940027894,1824000000.0,222,22.11,1
2168,30141893,张富盛,0.0015226159738305,1350000000.0,1200,190.16,2
1405,30693067,孙笑悦,0.0015214222828228,6018000000.0,431,71.09,4
2161,30040521,赵枫,0.0015195766435882,15218000000.0,2387,368.89,2
481,30574711,何杰,0.001514382324455,3236999999.9999995,1159,239.07,10
1019,30541660,林小聪,0.0015141643786018,1391000000.0,1456,168.59,2
2355,30722027,翟森,0.0015130232558139,311000000.0,167,8.91,1
1395,30073608,苏文杰,0.0015049689440993,476000000.0,965,146.91,2
1999,30699230,杨珂,0.0014892745506642,1123000000.0,397,77.37,2
725,30690477,刘畅畅,0.0014829467939972,391000000.0,523,137.22,1
1202,30051450,牛勇,0.001482869716857,3121000000.0,3906,182.72,5
2191,30716586,邹慧,0.0014676616915422,340000000.0,201,29.5,1
2251,30384828,张金涛,0.0014564054140387,793000000.0,592,12.53,2
2468,30525101,赵诣,0.0014546848045719,20315000000.0,1546,261.22,4
1231,30588103,潘中宁,0.0014447067915032,1145000000.0,991,127.53,2
268,30688173,杜宇,0.001440243902439,5464000000.0,551,62.44,1
1726,30643418,吴越,0.001438302476823,2967000000.0,663,63.07,3
706,30729367,李博,0.0014315789473684,549000000.0,20,2.72,1
2450,30698267,郑雪莹,0.0014292026897214,9746000000.0,410,2.62,7
1915,30198031,谢治宇,0.0014203926534921,66423000000.0,3058,730.62,4
1170,30338359,毛文博,0.0014159364731653,975000000.0,2258,46.56,1
1968,30565161,于浩成,0.0014144578058503,16231000000.0,1048,51.1,2
2455,30135006,张杨,0.0014141805806922,2574000000.0,3535,249.69,4
2128,30283882,朱宝臣,0.0014126275510204,169000000.0,971,136.72,2
980,30136601,李文宾,0.0014073346253524,8685000000.0,1612,203.44,12
1630,30695040,汪萍,0.0014039141414141,190000000.0,396,56.25,2
384,30574693,郭乃幸,0.0013976617259209,-100000000.0,91,14.42,3
2123,30301680,赵蓓,0.001382788818747,15584000000.0,2400,391.5,9
2517,30713066,张艺敏,0.001381840168145,170000000.0,272,17.63,6
2318,30615703,张萍,0.0013755775574999,30161000000.0,951,234.82,8
807,30591022,楼慧源,0.001369605711538,6901000000.000001,1006,252.51,2
2351,30132575,周书,0.0013677729257641,125000000.0,1158,191.47,1
1785,30344678,徐嶒,0.0013647197522708,497000000.0,2225,86.77,6
312,30048332,傅鹏博,0.0013635185185185,31371000000.0,4161,427.22,2
2275,30657796,朱璘,0.0013618372379778,31371000000.0,811,111.38,2
1683,30688787,王卫林,0.0013550269809661,1383000000.0,542,102.26,3
772,30201494,刘格菘,0.0013549368341542,69483000000.0,2617,280.33,7
1385,30522355,尚烁徽,0.0013521758796059,2824000000.0,1543,173.84,8
1181,30725628,梦圆,0.0013483874326932,3811000000.0,110,11.96,2
518,30584705,韩庆,0.0013345819982201,1041000000.0,433,64.39,2
2190,30685819,张弘,0.0013335552057745,2076000000.0,587,116.29,4
2141,30107655,张昌平,0.0013320564516129,187000000.0,221,33.32,1
680,30723207,孔涛,0.0013298642533936,1238000000.0,154,3.71,1
598,30379365,何之渊,0.0013257942667326,8759000000.0,718,101.01,4
161,30422375,常远,0.0013215746154956,4400000000.0,1617,141.68,5
2258,30189744,张坤,0.0013209240819561,133108999999.99998,3181,694.1,4
565,30395964,胡宜斌,0.0013139272381887,7202000000.0,2027,162.08,3
269,30586607,丁杨,0.0013119487908961,1709000000.0,185,24.08,1
854,30358022,栾江伟,0.0013100684154357,781000000.0,1935,122.69,8
1960,30339882,于航,0.0013084607423628,4332000000.0,2142,92.5,6
1909,30686601,徐志华,0.0013057726465364,46000000.0,573,101.43,1
1904,30724302,熊昱洲,0.0013054480980012,3869000000.0,139,1.23,2
2293,30156431,周谧,0.0013042334792492,2228000000.0,1197,125.76,9
2402,30558665,张玮升,0.0013034378846174,970000000.0,1326,147.68,3
